geoid2,white,black,amind,asian
31153010615,1765,47,0,105
31153010616,3273,64,5,46
31153010617,5016,220,0,107
31153010618,4924,70,5,478
31153010619,3987,253,29,148
31153010620,3054,47,0,75
31153010621,5171,278,0,10
31153010622,2593,42,0,74
31153010623,4063,15,0,49
31153010624,5383,122,0,86
31153010625,4773,310,0,148
31153010626,4648,35,0,177
31153010627,2765,0,0,0
31153010628,4103,123,0,0
31153010629,1710,42,0,12
31153010630,2069,82,24,9
31153010631,4333,34,0,0
31153010632,3631,0,0,0
31153010633,2732,0,0,0
31153010634,2601,20,10,54
31153010701,2374,0,10,0
31153010702,3391,3,12,17
31155968100,3356,0,3,9
31155968200,5454,24,0,3
31155968300,4570,15,0,39
31155968400,4029,18,37,0
31155968500,2805,0,29,0
31157952900,2965,0,4,20
31157953000,2919,7,32,15
31157953100,2072,4,33,18
31157953200,1496,0,3,0
31157953300,3345,6,96,81
31157953400,2529,76,1,0
31157953500,2834,91,33,35
31157953600,2652,9,0,51
31157953700,3639,1,242,0
31157953800,4313,39,66,0
31157953900,5325,2,1,33
31159960100,4167,25,0,46
31159960200,2331,32,0,0
31159960300,4781,19,10,45
31159960400,4934,6,3,41
31161951600,1727,5,181,10
31161951700,2953,4,214,19
31163970100,3094,30,7,2
31165950100,1224,0,0,0
31167962100,1670,8,0,0
31167962200,4184,15,26,57
31169963100,2657,6,5,0
31169963200,2440,0,0,2
31171957100,789,6,8,14
31173940100,2113,33,2057,18
31173940200,652,0,1862,10
31175971300,1811,0,4,0
31175971400,2429,1,7,0
31177050101,3354,26,11,36
31177050102,4957,52,12,7
31177050201,4019,12,4,0
31177050202,2921,10,0,0
31177050300,4467,0,8,3
31179978600,3545,52,0,13
31179978700,5578,85,0,32
31181965000,1893,0,0,59
31181965100,1766,4,0,8
31183973600,685,0,0,0
31185969600,2691,0,0,19
31185969700,4056,3,0,27
31185969800,3979,68,45,0
31185969900,2274,15,15,2
