geoid,geoid2,geoname,totalpop,maroferror
1400000US31055006704,31055006704,"Census Tract 67.04, Douglas County, Nebraska",1598,136
1400000US31055006803,31055006803,"Census Tract 68.03, Douglas County, Nebraska",1940,116
1400000US31055006804,31055006804,"Census Tract 68.04, Douglas County, Nebraska",1527,127
1400000US31055006805,31055006805,"Census Tract 68.05, Douglas County, Nebraska",3329,184
1400000US31055006806,31055006806,"Census Tract 68.06, Douglas County, Nebraska",2579,259
1400000US31055006903,31055006903,"Census Tract 69.03, Douglas County, Nebraska",2575,217
1400000US31055006904,31055006904,"Census Tract 69.04, Douglas County, Nebraska",3883,262
1400000US31055006905,31055006905,"Census Tract 69.05, Douglas County, Nebraska",1820,137
1400000US31055006906,31055006906,"Census Tract 69.06, Douglas County, Nebraska",3352,227
1400000US31055007001,31055007001,"Census Tract 70.01, Douglas County, Nebraska",3506,351
1400000US31055007002,31055007002,"Census Tract 70.02, Douglas County, Nebraska",3301,213
1400000US31055007003,31055007003,"Census Tract 70.03, Douglas County, Nebraska",2674,204
1400000US31055007101,31055007101,"Census Tract 71.01, Douglas County, Nebraska",3292,248
1400000US31055007102,31055007102,"Census Tract 71.02, Douglas County, Nebraska",3549,280
1400000US31055007303,31055007303,"Census Tract 73.03, Douglas County, Nebraska",3028,279
1400000US31055007304,31055007304,"Census Tract 73.04, Douglas County, Nebraska",1451,132
1400000US31055007309,31055007309,"Census Tract 73.09, Douglas County, Nebraska",3933,231
1400000US31055007310,31055007310,"Census Tract 73.10, Douglas County, Nebraska",2799,246
1400000US31055007311,31055007311,"Census Tract 73.11, Douglas County, Nebraska",3563,283
1400000US31055007312,31055007312,"Census Tract 73.12, Douglas County, Nebraska",1831,187
1400000US31055007313,31055007313,"Census Tract 73.13, Douglas County, Nebraska",6540,327
1400000US31055007314,31055007314,"Census Tract 73.14, Douglas County, Nebraska",2873,189
1400000US31055007315,31055007315,"Census Tract 73.15, Douglas County, Nebraska",3520,298
1400000US31055007316,31055007316,"Census Tract 73.16, Douglas County, Nebraska",2931,237
1400000US31055007317,31055007317,"Census Tract 73.17, Douglas County, Nebraska",4223,288
1400000US31055007318,31055007318,"Census Tract 73.18, Douglas County, Nebraska",3691,228
1400000US31055007405,31055007405,"Census Tract 74.05, Douglas County, Nebraska",2304,204
1400000US31055007406,31055007406,"Census Tract 74.06, Douglas County, Nebraska",4942,346
1400000US31055007407,31055007407,"Census Tract 74.07, Douglas County, Nebraska",3121,346
1400000US31055007408,31055007408,"Census Tract 74.08, Douglas County, Nebraska",4102,271
1400000US31055007409,31055007409,"Census Tract 74.09, Douglas County, Nebraska",2380,138
1400000US31055007424,31055007424,"Census Tract 74.24, Douglas County, Nebraska",2928,217
1400000US31055007429,31055007429,"Census Tract 74.29, Douglas County, Nebraska",3741,199
1400000US31055007431,31055007431,"Census Tract 74.31, Douglas County, Nebraska",4166,256
1400000US31055007432,31055007432,"Census Tract 74.32, Douglas County, Nebraska",3367,216
1400000US31055007433,31055007433,"Census Tract 74.33, Douglas County, Nebraska",3948,289
